Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,68.00329036567662,22.758078275130686,5.100157151531359,2.0000000000000018e-2,5.398754247881826e-4,"cx0_1: 2.960e-2, cx0_14: 3.442e-2",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q1,67.1579458639594,41.66592710968806,5.238392857455325,3.1500000000000083e-2,2.147128963288679e-3,"cx1_0: 2.960e-2, cx1_2: 2.488e-2, cx1_13: 8.659e-2",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q2,42.06883214361966,74.84755491512206,5.032835322656658,2.950000000000008e-2,1.8516903075245707e-3,"cx2_1: 2.488e-2, cx2_3: 2.489e-2, cx2_12: 4.873e-2",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q3,81.50916702165355,64.21028358269216,4.896095991923253,9.799999999999998e-2,4.356117305203597e-4,"cx3_2: 2.489e-2, cx3_4: 1.706e-2, cx3_11: 1.000e+0",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q4,68.00664294086735,50.29755473900619,5.026306063099151,2.950000000000008e-2,1.2366776822543715e-3,"cx4_3: 1.706e-2, cx4_5: 2.868e-2, cx4_10: 4.279e-2",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q5,18.68589919424499,39.21939479454848,5.06674375005491,6.65e-2,2.5133326992826956e-3,"cx5_4: 2.868e-2, cx5_6: 6.836e-2, cx5_9: 3.697e-2",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q6,84.75684120122312,77.53092483486624,4.924045705466129,3.4499999999999975e-2,3.2023021369199972e-3,"cx6_5: 6.836e-2, cx6_8: 1.366e-1",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q7,41.60701207339157,66.3015228488726,4.974531982419377,6.65e-2,3.637623076434854e-3,"cx7_8: 1.269e-1",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q8,43.92151460452972,37.13173306802538,4.74071119703545,2.81e-1,6.126581228159243e-3,"cx8_6: 1.366e-1, cx8_7: 1.269e-1, cx8_9: 9.951e-2",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q9,39.91008363576572,79.0973381636792,4.963290773129798,4.0000000000000036e-2,1.6265025629695552e-3,"cx9_5: 3.697e-2, cx9_8: 9.951e-2, cx9_10: 5.098e-2",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q10,58.55709323277605,51.538685898770794,4.9452136260486705,4.749999999999999e-2,2.230207564623227e-3,"cx10_4: 4.279e-2, cx10_9: 5.098e-2, cx10_11: 1.000e+0",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q11,42.07214712264427,22.507151931712535,5.004614459837486,8.650000000000002e-2,2.4794859719016085e-2,"cx11_3: 1.000e+0, cx11_10: 1.000e+0, cx11_12: 1.000e+0",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q12,108.46747844233538,48.00477779025134,4.760003036397071,4.300000000000004e-2,7.903891983852767e-4,"cx12_2: 4.873e-2, cx12_11: 1.000e+0, cx12_13: 3.651e-2",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q13,32.14617229384023,57.112492940900395,4.968354046577113,1.0350000000000004e-1,2.58072865387731e-3,"cx13_1: 8.659e-2, cx13_12: 3.651e-2, cx13_14: 4.948e-2",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
Q14,43.66011088741432,49.9256396357526,5.001484099758187,4.600000000000004e-2,8.990033545122265e-4,"cx14_0: 3.442e-2, cx14_13: 4.948e-2",Wed Mar 11 2020 09:02:41 GMT+0100 (Central European Standard Time)
